"status","AuctionType:","Case#:","FinalJudgmentAmount:","ParcelID:","ParcelLink","PropertyAddress:","address2","PlaintiffMaxBid:","AssessedValue:"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-012632-CA-01","$483,020.57","30-6019-013-3010","http://www.miamidade.gov/propertysearch/#/?folio=3060190133010","11219 SW 236 LN","MIAMI, FL- 33032","Hidden","$129,752.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-018294-CA-01","$556,737.24","36-6016-015-1850","http://www.miamidade.gov/propertysearch/#/?folio=3660160151850","9450 SW 227 TER","MIAMI, FL- 33190","$352,000.00","$187,342.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-019557-CA-01","$349,924.72","31-2211-070-2350","http://www.miamidade.gov/propertysearch/#/?folio=3122110702350","17150 N BAY RD 2510","SUNNY ISLES BEACH, FL- 33160","$226,100.00","$285,655.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-019591-CA-01","$518,610.29","05-3119-010-3350","http://www.miamidade.gov/propertysearch/#/?folio=0531190103350","500 MINOLA DR","MIAMI SPRINGS, FL- 33166","$286,126.37","$290,167.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-021802-CA-01","$2,355,147.34","30-4035-004-0080","http://www.miamidade.gov/propertysearch/#/?folio=3040350040080","7400 SW 72 CT","MIAMI, FL- 33143","$2,355,147.34","$1,979,135.00"
"Canceled per Order","FORECLOSURE"," 2017-028864-CA-01","$278,549.32","30-4034-045-0800","http://www.miamidade.gov/propertysearch/#/?folio=3040340450800","7701 SW 88 ST B221","MIAMI, FL- 33156","Hidden","$56,255.00"
"Redeemed","FORECLOSURE"," 2018-007197-CA-01","$38,792.84","30-3115-005-4010","http://www.miamidade.gov/propertysearch/#/?folio=3031150054010","1884 NW 64 ST","MIAMI, FL- 33147","Hidden","$48,787.00"
"Canceled per County","FORECLOSURE"," 2018-007852-CA-01","$10,056.00","10-7916-003-0870","http://www.miamidade.gov/propertysearch/#/?folio=1079160030870","750 SE 29 DR","HOMESTEAD, FL- 33033","Hidden","$119,539.00"
"Canceled per Order","FORECLOSURE"," 2018-013454-CA-01","$232,774.00","08-2121-007-2445","http://www.miamidade.gov/propertysearch/#/?folio=0821210072445","1264 BURLINGTON ST","OPA-LOCKA, FL- 33054","Hidden","$92,754.00"
"Canceled per Order","FORECLOSURE"," 2018-016051-CA-01","$332,257.36","35-3007-008-1610","http://www.miamidade.gov/propertysearch/#/?folio=3530070081610","10907 NW 78 TER","DORAL, FL- 33178","$229,161.13","$158,427.00"
"Canceled per Order","FORECLOSURE"," 2018-016177-CA-01","$374,845.30","01-3231-064-1000","http://www.miamidade.gov/propertysearch/#/?folio=0132310641000","1900 N BAYSHORE DR 2102","MIAMI, FL- 33132","Hidden","$403,003.00"
"Canceled per Order","FORECLOSURE"," 2018-016287-CA-01","$172,546.58","01-3114-032-0230","http://www.miamidade.gov/propertysearch/#/?folio=0131140320230","1077 NW 55 ST","MIAMI, FL- 33127","Hidden","$28,982.00"
